# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
naca0024

Re and corresponding polar
# Reynolds number (-)
50000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-15.25      -1.1819      0.03973      -0.0497
-15      -1.1758      0.03792      -0.0493
-14.75      -1.1656      0.03651       -0.049
-14.5      -1.1609      0.03472      -0.0483
-14.25      -1.1557      0.03303      -0.0475
-14      -1.1469       0.0317      -0.0467
-13.75      -1.1361      0.03057      -0.0459
-13.5      -1.1329      0.02905      -0.0444
-13.25      -1.1266      0.02786      -0.0429
-13      -1.1182      0.02695      -0.0413
-12.75      -1.1148      0.02595       -0.039
-12.5      -1.1147      0.02496       -0.036
-12.25      -1.1143      0.02421      -0.0327
-12      -1.1132      0.02368      -0.0292
-11.75      -1.1217        0.023      -0.0244
-11.5      -1.1177      0.02225      -0.0217
-11.25       -1.087      0.02154      -0.0236
-11       -1.058      0.02071      -0.0253
-10.75       -1.027      0.01999      -0.0273
-10.5      -0.9962      0.01939      -0.0288
-10.25      -0.9686      0.01862        -0.03
-10      -0.9344      0.01811      -0.0321
-9.75     -0.9019      0.0174     -0.0341
-9.5     -0.8668     0.01685     -0.0363
-9.25     -0.8425     0.01634     -0.0362
-9     -0.8145     0.01578     -0.0369
-8.75     -0.7893     0.01542     -0.0368
-8.5       -0.77     0.01489     -0.0355
-8.25     -0.7508     0.01453     -0.0341
-8     -0.7302     0.01419     -0.0328
-7.75     -0.7135     0.01382     -0.0309
-7.5     -0.6924     0.01354     -0.0296
-7.25     -0.6737     0.01324      -0.028
-7     -0.6538     0.01295     -0.0266
-6.75     -0.6313     0.01278     -0.0255
-6.5     -0.6126     0.01248     -0.0238
-6.25     -0.5916     0.01229     -0.0225
-6     -0.5711     0.01212      -0.021
-5.75     -0.5521     0.01195     -0.0193
-5.5     -0.5298     0.01185     -0.0181
-5.25     -0.5089     0.01167     -0.0167
-5     -0.4862     0.01154     -0.0157
-4.75     -0.4628     0.01144     -0.0148
-4.5     -0.4404     0.01129     -0.0137
-4.25     -0.4156     0.01125      -0.013
-4     -0.3932      0.0111     -0.0119
-3.75     -0.3689     0.01103     -0.0111
-3.5      -0.345     0.01095     -0.0102
-3.25     -0.3212     0.01086     -0.0094
-3     -0.2961     0.01084     -0.0087
-2.75     -0.2726     0.01073     -0.0078
-2.5     -0.2477     0.01072     -0.0071
-2.25     -0.2233     0.01063     -0.0063
-2     -0.1989     0.01061     -0.0055
-1.75     -0.1737     0.01057     -0.0049
-1.5     -0.1496     0.01054     -0.0041
-1.25     -0.1238     0.01053     -0.0036
-1        -0.1     0.01048     -0.0027
-0.75     -0.0743     0.01049     -0.0021
-0.5       -0.05     0.01045     -0.0013
-0.25     -0.0248     0.01046     -0.0007
0           0     0.01045           0
0.25      0.0248     0.01046      0.0007
0.5      0.0501     0.01045      0.0013
0.75      0.0743     0.01049      0.0021
1         0.1     0.01048      0.0027
1.25      0.1239     0.01053      0.0036
1.5      0.1497     0.01054      0.0041
1.75      0.1738     0.01057      0.0049
2       0.199     0.01061      0.0055
2.25      0.2234     0.01063      0.0063
2.5      0.2477     0.01072      0.0071
2.75      0.2726     0.01073      0.0078
3      0.2962     0.01084      0.0087
3.25      0.3213     0.01086      0.0093
3.5      0.3451     0.01095      0.0102
3.75      0.3691     0.01103       0.011
4      0.3934      0.0111      0.0118
4.25      0.4157     0.01125      0.0129
4.5      0.4406     0.01129      0.0136
4.75       0.463     0.01144      0.0147
5      0.4864     0.01154      0.0157
5.25      0.5092     0.01167      0.0167
5.5      0.5302     0.01185      0.0181
5.75      0.5525     0.01195      0.0192
6      0.5716     0.01213      0.0209
6.25       0.592     0.01229      0.0224
6.5      0.6131     0.01247      0.0237
6.75      0.6318     0.01278      0.0254
7      0.6543     0.01295      0.0264
7.25      0.6742     0.01324      0.0279
7.5       0.693     0.01354      0.0295
7.75      0.7142     0.01382      0.0308
8      0.7308     0.01419      0.0327
8.25      0.7515     0.01453       0.034
8.5      0.7707     0.01489      0.0354
8.75      0.7901     0.01541      0.0366
9      0.8153     0.01577      0.0368
9.25      0.8432     0.01633      0.0361
9.5      0.8677     0.01684      0.0362
9.75      0.9028     0.01739      0.0339
10       0.9353      0.01809       0.0319
10.25       0.9695      0.01861       0.0299
10.5       0.9971      0.01937       0.0287
10.75       1.0281      0.01997       0.0271
11       1.0592      0.02069       0.0251
11.25       1.0883      0.02151       0.0234
11.5       1.1191      0.02222       0.0215
11.75       1.1217      0.02296       0.0244
12       1.1132      0.02364       0.0293
12.25       1.1146      0.02416       0.0327
12.5       1.1152      0.02492        0.036
12.75       1.1154       0.0259       0.0389
13       1.1192       0.0269       0.0412
13.25       1.1278      0.02781       0.0428
13.5       1.1344        0.029       0.0442
13.75       1.1376      0.03053       0.0457
14       1.1489      0.03164       0.0464
14.25       1.1578      0.03297       0.0472
14.5       1.1629      0.03467        0.048
14.75       1.1681      0.03643       0.0486
15       1.1784      0.03785        0.049
15.25       1.1844      0.03967       0.0493
15.5       1.1866      0.04186       0.0497
15.75       1.1925      0.04377       0.0499
16       1.1997      0.04566       0.0499
16.25       1.2037      0.04784         0.05
16.5       1.2043      0.05037         0.05
16.75       1.2069      0.05277       0.0499
17       1.2128       0.0549       0.0496
17.25       1.2151      0.05745       0.0493
17.5       1.2146      0.06026        0.049
17.75       1.2138      0.06307       0.0486
18       1.2171      0.06564       0.0481
18.25       1.2196      0.06828       0.0476
18.5       1.2187       0.0713       0.0469
18.75       1.2173      0.07433       0.0463
19       1.2166      0.07734       0.0456
19.25       1.2181      0.08023       0.0447

Re and corresponding polar
# Reynolds number (-)
1000000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
